"System";"JobuCelkem";"NotInPool";"Running";"FailedRestart";"FailedFinal";"Cancelled";"Other"
"bscs";"48";"48";"0";"0";"0";"0";"0"
"case";"1";"1";"0";"0";"0";"0";"0"
"cetin";"20";"20";"0";"0";"0";"0";"0"
"cip";"1";"1";"0";"0";"0";"0";"0"
"cms";"1";"1";"0";"0";"0";"0";"0"
"crf";"31";"31";"0";"0";"0";"0";"0"
"drl";"2";"2";"0";"0";"0";"0";"0"
"ds";"3";"3";"0";"0";"0";"0";"0"
"ebill";"10";"10";"0";"0";"0";"0";"0"
"ebox";"24";"24";"0";"0";"0";"0";"0"
"ec";"10";"10";"0";"0";"0";"0";"0"
"firefly";"4";"4";"0";"0";"0";"0";"0"
"hwp";"73";"73";"0";"0";"0";"0";"0"
"imd";"47";"47";"0";"0";"0";"0";"0"
"iotdm";"1";"1";"0";"0";"0";"0";"0"
"jibus";"1";"0";"0";"0";"1";"0";"0"
"jira";"24";"24";"0";"0";"0";"0";"0"
"jlm";"19";"19";"0";"0";"0";"0";"0"
"k2";"2";"2";"0";"0";"0";"0";"0"
"kofax";"6";"6";"0";"0";"0";"0";"0"
"los";"31";"31";"0";"0";"0";"0";"0"
"merk";"34";"34";"0";"0";"0";"0";"0"
"nk";"5";"5";"0";"0";"0";"0";"0"
"nova";"4";"4";"0";"0";"0";"0";"0"
"ntrcrs";"1";"1";"0";"0";"0";"0";"0"
"ntriris";"1";"1";"0";"0";"0";"0";"0"
"ntrocs";"6";"6";"0";"0";"0";"0";"0"
"ntrtsm";"80";"80";"0";"0";"0";"0";"0"
"ocs";"26";"26";"0";"0";"0";"0";"0"
"omni";"6";"6";"0";"0";"0";"0";"0"
"org";"53";"53";"0";"0";"0";"0";"0"
"ott";"3";"3";"0";"0";"0";"0";"0"
"p2000";"3";"3";"0";"0";"0";"0";"0"
"pbt";"8";"8";"0";"0";"0";"0";"0"
"redat";"18";"18";"0";"0";"0";"0";"0"
"rmca";"46";"46";"0";"0";"0";"0";"0"
"sap";"61";"61";"0";"0";"0";"0";"0"
"sfa";"59";"59";"0";"0";"0";"0";"0"
"tsm";"6";"6";"0";"0";"0";"0";"0"
"ucm";"27";"27";"0";"0";"0";"0";"0"
"wda";"2";"2";"0";"0";"0";"0";"0"
"wizz";"3";"3";"0";"0";"0";"0";"0"
"wsms";"9";"9";"0";"0";"0";"0";"0"
"zis";"32";"32";"0";"0";"0";"0";"0"
"zpfr";"3";"3";"0";"0";"0";"0";"0"
