"database_name";"table_name";"model_name";"is_active";"execution_frequency";"execution_where_clause";"real_window";"retention_comment"
AP_STG;CEM_O2TV_LIM_REACHED_EBOX;AP_STG;1;D ;loaded_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '180' DAY) AS TIMESTAMP(0));180;Pozadavek analytik dle BIDEV-7208
AP_STG;BSCS_TOT_ZONE_MDL_MAP_MPULKGVM;AP_STG;0;D ;extract_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0));10;BIDEV-3107: přenos pravidla z EP_LND, retence natažená na 5 dní z 2, protože https://confluence.cz.o2/pages/viewpage.action?spaceKey=BIS&title=Async+Stage#AsyncStage-Loadakonsolidacedatnadatab%C3%A1zi,obohacen%C3%ADdat
AP_STG;EBOX_VIEWS_V2;AP_STG;1;D ;extract_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '15' DAY) AS TIMESTAMP(0));;BIDEV-8829: Po ústní dohodě s Lubošem Mixlem
AP_STG;BSCS_RTX;AP_STG;1;D ;extract_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '5' DAY) AS TIMESTAMP(0));5;BIDEV-3107: přenos pravidla z EP_LND, retence natažená na 5 dní z 2, protože https://confluence.cz.o2/pages/viewpage.action?spaceKey=BIS&title=Async+Stage#AsyncStage-Loadakonsolidacedatnadatab%C3%A1zi,obohacen%C3%ADdat
AP_STG;BSCS_RTX_TAP;AP_STG;1;D ;extract_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '5' DAY) AS TIMESTAMP(0));5;BIDEV-3107: přenos pravidla z EP_LND, retence natažená na 5 dní z 2, protože https://confluence.cz.o2/pages/viewpage.action?spaceKey=BIS&title=Async+Stage#AsyncStage-Loadakonsolidacedatnadatab%C3%A1zi,obohacen%C3%ADdat
AP_STG;BSCS_RTX_FREE;AP_STG;1;D ;extract_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '5' DAY) AS TIMESTAMP(0));5;BIDEV-3107: přenos pravidla z EP_LND, retence natažená na 5 dní z 2, protože https://confluence.cz.o2/pages/viewpage.action?spaceKey=BIS&title=Async+Stage#AsyncStage-Loadakonsolidacedatnadatab%C3%A1zi,obohacen%C3%ADdat
EP_LND;BA_MAP_BSCS_CO_OCM_CP;EP_LND;1;D ;extract_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0));10;
AP_STG;BSCS_CA_O2S3_REVE_ESTIMATE;AP_STG;1;D ;loaded_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '1' YEAR) AS TIMESTAMP(0));;Retence nastavena na 1 rok
EP_LND;BA_MAP_BSCS_CO_OCM_TS;EP_LND;1;D ;extract_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0));10;
AP_SDA;EBOX_VIEWS_DN1;AP_SDA;1;D ;start_at_tv_day < Cast((Current_Date - INTERVAL '180' DAY) AS DATE FORMAT 'yyyy-mm-dd');;retence záznamů jejichž pole start_at_tv bude starší než 6M (180 dní)
