retention_rule_id,project_id,source_dataset_name,table_name,is_active,execution_frequency,execution_day_of_week,execution_day_of_month,execution_schedule,retention_type,retention_column,retention_value,retention_unit,column_data_type,boundary_mode,source_execution_where_clause,bq_execution_where_clause,end_column,operation_column,delete_operation_value,source_time_column,retention_comment,created_dttm,updated_dttm,created_by,updated_by,bq_dataset_name
TD_EP_CDC_SPM_SI_KTT_SADA_00861,o2czed1,EP_CDC,SPM_SI_KTT_SADA,true,W,6,,,CUSTOM_SQL,,,,,CUSTOM,(TT_END_DTTM < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '60' DAY) AS TIMESTAMP(0))) OR (Operation = 'D' AND src_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '60' DAY) AS TIMESTAMP(0))),"(TT_END_DTTM < TIMESTAMP_SUB(TIMESTAMP(@retention_reference_dttm), INTERVAL 60 DAY)) OR (Operation = 'D' AND src_dttm < TIMESTAMP_SUB(TIMESTAMP(@retention_reference_dttm), INTERVAL 60 DAY))",,,,,BIDEV-1070: Space,2026-07-14 10:42:19.523432 UTC,2026-07-14 10:47:52.765489 UTC,migration_ep_opr_man_table_retention_csv,bulk_custom_update_cdc_or,
TD_EP_IND_OCM_CRM_CONTACT_REF_00055,o2czed1,EP_IND,OCM_CRM_CONTACT_REF,true,W,6,,,CUSTOM_SQL,,,,,CUSTOM,Operation = 'D' AND src_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '60' DAY) AS TIMESTAMP(0)),"Operation = 'D' AND src_dttm < TIMESTAMP_SUB(TIMESTAMP(@retention_reference_dttm), INTERVAL 60 DAY)",,,,,BIDEV-1070: Space,2026-07-14 10:42:19.523432 UTC,2026-07-14 10:47:55.105031 UTC,migration_ep_opr_man_table_retention_csv,bulk_custom_update_operation_only,
TD_EP_IND_OCM_O_ORDER_ITEM_PRICE_00583,o2czed1,EP_IND,OCM_O_ORDER_ITEM_PRICE,true,W,6,,,CUSTOM_SQL,,,,,CUSTOM,Operation = 'D' AND src_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '60' DAY) AS TIMESTAMP(0)),"Operation = 'D' AND src_dttm < TIMESTAMP_SUB(TIMESTAMP(@retention_reference_dttm), INTERVAL 60 DAY)",,,,,BIDEV-1070: Space,2026-07-14 10:42:19.523432 UTC,2026-07-14 10:47:55.105031 UTC,migration_ep_opr_man_table_retention_csv,bulk_custom_update_operation_only,
TD_EP_IND_SPM_SI_KTT_AP_PRODUCT_00482,o2czed1,EP_IND,SPM_SI_KTT_AP_PRODUCT,true,W,6,,,CUSTOM_SQL,,,,,CUSTOM,Operation = 'D' AND src_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '60' DAY) AS TIMESTAMP(0)),"Operation = 'D' AND src_dttm < TIMESTAMP_SUB(TIMESTAMP(@retention_reference_dttm), INTERVAL 60 DAY)",,,,,BIDEV-1070: Space,2026-07-14 10:42:19.523432 UTC,2026-07-14 10:47:55.105031 UTC,migration_ep_opr_man_table_retention_csv,bulk_custom_update_operation_only,
TD_EP_CDC_OCM_ADR_ADDRESS_REF_00670,o2czed1,EP_CDC,OCM_ADR_ADDRESS_REF,true,W,6,,,CUSTOM_SQL,,,,,CUSTOM,(TT_END_DTTM < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '60' DAY) AS TIMESTAMP(0))) OR (Operation = 'D' AND src_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '60' DAY) AS TIMESTAMP(0))),"(TT_END_DTTM < TIMESTAMP_SUB(TIMESTAMP(@retention_reference_dttm), INTERVAL 60 DAY)) OR (Operation = 'D' AND src_dttm < TIMESTAMP_SUB(TIMESTAMP(@retention_reference_dttm), INTERVAL 60 DAY))",,,,,BIDEV-1070: Space,2026-07-14 10:42:19.523432 UTC,2026-07-14 10:47:52.765489 UTC,migration_ep_opr_man_table_retention_csv,bulk_custom_update_cdc_or,
TD_EP_CDC_OCM_PC_SOCKET_00723,o2czed1,EP_CDC,OCM_PC_SOCKET,true,W,6,,,CUSTOM_SQL,,,,,CUSTOM,(TT_END_DTTM < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '60' DAY) AS TIMESTAMP(0))) OR (Operation = 'D' AND src_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '60' DAY) AS TIMESTAMP(0))),"(TT_END_DTTM < TIMESTAMP_SUB(TIMESTAMP(@retention_reference_dttm), INTERVAL 60 DAY)) OR (Operation = 'D' AND src_dttm < TIMESTAMP_SUB(TIMESTAMP(@retention_reference_dttm), INTERVAL 60 DAY))",,,,,BIDEV-1070: Space,2026-07-14 10:42:19.523432 UTC,2026-07-14 10:47:52.765489 UTC,migration_ep_opr_man_table_retention_csv,bulk_custom_update_cdc_or,
TD_EP_IND_OCM_CRM_PARTY_CA_CEXT_00443,o2czed1,EP_IND,OCM_CRM_PARTY_CA_CEXT,true,W,6,,,CUSTOM_SQL,,,,,CUSTOM,Operation = 'D' AND src_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '60' DAY) AS TIMESTAMP(0)),"Operation = 'D' AND src_dttm < TIMESTAMP_SUB(TIMESTAMP(@retention_reference_dttm), INTERVAL 60 DAY)",,,,,BIDEV-1070: Space,2026-07-14 10:42:19.523432 UTC,2026-07-14 10:47:55.105031 UTC,migration_ep_opr_man_table_retention_csv,bulk_custom_update_operation_only,
TD_EP_IND_OCM_CG_INST_MEMBER_00708,o2czed1,EP_IND,OCM_CG_INST_MEMBER,true,W,6,,,CUSTOM_SQL,,,,,CUSTOM,Operation = 'D' AND src_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '60' DAY) AS TIMESTAMP(0)),"Operation = 'D' AND src_dttm < TIMESTAMP_SUB(TIMESTAMP(@retention_reference_dttm), INTERVAL 60 DAY)",,,,,BIDEV-1070: Space,2026-07-14 10:42:19.523432 UTC,2026-07-14 10:47:55.105031 UTC,migration_ep_opr_man_table_retention_csv,bulk_custom_update_operation_only,
TD_EP_IND_SPM_SI_SIT_ITEM_PARAM_00749,o2czed1,EP_IND,SPM_SI_SIT_ITEM_PARAM,true,W,6,,,CUSTOM_SQL,,,,,CUSTOM,Operation = 'D' AND src_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '60' DAY) AS TIMESTAMP(0)),"Operation = 'D' AND src_dttm < TIMESTAMP_SUB(TIMESTAMP(@retention_reference_dttm), INTERVAL 60 DAY)",,,,,BIDEV-1070: Space,2026-07-14 10:42:19.523432 UTC,2026-07-14 10:47:55.105031 UTC,migration_ep_opr_man_table_retention_csv,bulk_custom_update_operation_only,
TD_EP_IND_OCM_PC_SOCKET_00802,o2czed1,EP_IND,OCM_PC_SOCKET,true,W,6,,,CUSTOM_SQL,,,,,CUSTOM,Operation = 'D' AND src_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '60' DAY) AS TIMESTAMP(0)),"Operation = 'D' AND src_dttm < TIMESTAMP_SUB(TIMESTAMP(@retention_reference_dttm), INTERVAL 60 DAY)",,,,,BIDEV-1070: Space,2026-07-14 10:42:19.523432 UTC,2026-07-14 10:47:55.105031 UTC,migration_ep_opr_man_table_retention_csv,bulk_custom_update_operation_only,
