"retention_rule_id";"dataset_name";"table_name";"execution_frequency";"reason";"source_execution_where_clause";"bq_execution_where_clause";"retention_comment"
"TD_AP_SDA_EBOX_VIEWS_DN1_00010";"AP_SDA";"EBOX_VIEWS_DN1";"D";"manual_review";"start_at_tv_day < Cast((Current_Date - INTERVAL '180' DAY) AS DATE FORMAT 'yyyy-mm-dd')";"start_at_tv_day < Cast((Current_Date - INTERVAL '180' DAY) AS DATE FORMAT 'yyyy-mm-dd')";"retence záznamů jejichž pole start_at_tv bude starší než 6M (180 dní)"
"TD_EP_CDC_GCTI_WM_TIMEOFF_TYPES_00013";"EP_CDC";"GCTI_WM_TIMEOFF_TYPES";"W";"manual_review";"(TT_END_DTTM < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0))) OR (Operation = 'D' AND src_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0)))";"(TT_END_DTTM < CAST( (CAST(CAST('@retention_reference_dttm' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0))) OR (Operation = 'D' AND src_dttm < CAST( (CAST(CAST('@retention_reference_dttm' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0)))";"plosne zkraceno z 60 na 10 v 2025-07-22"
"TD_EP_CDC_ST_BD_FD_PRODUCT_00017";"EP_CDC";"ST_BD_FD_PRODUCT";"W";"manual_review";"(TT_END_DTTM < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '60' DAY) AS TIMESTAMP(0))) OR (Operation = 'D' AND src_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '60' DAY) AS TIMESTAMP(0)))";"(TT_END_DTTM < CAST( (CAST(CAST('@retention_reference_dttm' AS TIMESTAMP(0)) AS DATE) - INTERVAL '60' DAY) AS TIMESTAMP(0))) OR (Operation = 'D' AND src_dttm < CAST( (CAST(CAST('@retention_reference_dttm' AS TIMESTAMP(0)) AS DATE) - INTERVAL '60' DAY) AS TIMESTAMP(0)))";"INIT: vygenerovano z Press"
"TD_EP_IPTV_DAILY_SESSIONS_00018";"EP_IPTV";"DAILY_SESSIONS";"D";"manual_review";"start_dt_sess < (add_months( cast(substring('$$LOAD_DTTM' from 1 for 10) as date), -6)- extract( day from add_months( cast(substring('$$LOAD_DTTM' from 1 for 10) as date), -6)) + 1)";"start_dt_sess < (add_months( cast(substring('@retention_reference_dttm' from 1 for 10) as date), -6)- extract( day from add_months( cast(substring('@retention_reference_dttm' from 1 for 10) as date), -6)) + 1)";"L2 IPTV - staré IPTV: 6 celých měsíců + aktuálně běžící měsíc"
"TD_EP_IND_WRK_S_FMS_PARTY_PY_DN02_SF_00021";"EP_IND_WRK";"S_FMS_PARTY_PY_DN02_SF";"D";"manual_review";"Load_Dttm < (SELECT MAX(load_dttm) FROM EP_IND.E20_LOAD_RETENTION WHERE ord_data_set = 2 )";"Load_Dttm < (SELECT MAX(load_dttm) FROM EP_IND.E20_LOAD_RETENTION WHERE ord_data_set = 2 )";"L2i - loading one-times at week, at Sunday. So, we need 2 last data sests, and it is 3(loads per day)x7(days in week)x1(data sets )=> 42 (+1) => max 7 days back. It means, usually, 2 data sets, but sometimes 3 data sets, because somes loads are disabled, tipiccaly at week by backups ."
"TD_EP_CDC_GCTI_IRF_O2CZ_USER_DATA_IDENT_00022";"EP_CDC";"GCTI_IRF_O2CZ_USER_DATA_IDENT";"W";"manual_review";"(TT_END_DTTM < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0))) OR (Operation = 'D' AND src_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0)))";"(TT_END_DTTM < CAST( (CAST(CAST('@retention_reference_dttm' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0))) OR (Operation = 'D' AND src_dttm < CAST( (CAST(CAST('@retention_reference_dttm' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0)))";"plosne zkraceno z 60 na 10 v 2025-07-22"
"TD_EP_CDC_GCTI_CTL_UD_TO_UDE_MAPPING_00023";"EP_CDC";"GCTI_CTL_UD_TO_UDE_MAPPING";"W";"manual_review";"(TT_END_DTTM < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0))) OR (Operation = 'D' AND src_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0)))";"(TT_END_DTTM < CAST( (CAST(CAST('@retention_reference_dttm' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0))) OR (Operation = 'D' AND src_dttm < CAST( (CAST(CAST('@retention_reference_dttm' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0)))";"plosne zkraceno z 60 na 10 v 2025-07-22"
"TD_EP_IND_OCM_CG_DEF_MEMBER_I_00024";"EP_IND";"OCM_CG_DEF_MEMBER_I";"D";"manual_review";"Load_Dttm < (SELECT MAX(load_dttm) FROM EP_IND.E20_LOAD_RETENTION WHERE ord_data_set = 43 )";"Load_Dttm < (SELECT MAX(load_dttm) FROM EP_IND.E20_LOAD_RETENTION WHERE ord_data_set = 43 )";"L2i - loading by each load. So, we need 14 days back of data sets, and it is 3(loads per day)x7(days in week)x1(data sets )=> 42+1 => max 15 days back."
"TD_EP_CDC_ST_BD_MODELATION_SIM_00030";"EP_CDC";"ST_BD_MODELATION_SIM";"W";"manual_review";"(TT_END_DTTM < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '60' DAY) AS TIMESTAMP(0))) OR (Operation = 'D' AND src_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '60' DAY) AS TIMESTAMP(0)))";"(TT_END_DTTM < CAST( (CAST(CAST('@retention_reference_dttm' AS TIMESTAMP(0)) AS DATE) - INTERVAL '60' DAY) AS TIMESTAMP(0))) OR (Operation = 'D' AND src_dttm < CAST( (CAST(CAST('@retention_reference_dttm' AS TIMESTAMP(0)) AS DATE) - INTERVAL '60' DAY) AS TIMESTAMP(0)))";"INIT: vygenerovano z Press"
"TD_EP_IND_WRK_S_FMS_OCM_CRM_PARTY_DN01_SI_00042";"EP_IND_WRK";"S_FMS_OCM_CRM_PARTY_DN01_SI";"D";"manual_review";"Load_Dttm < (SELECT MAX(load_dttm) FROM EP_IND.E20_LOAD_RETENTION WHERE ord_data_set = 43 )";"Load_Dttm < (SELECT MAX(load_dttm) FROM EP_IND.E20_LOAD_RETENTION WHERE ord_data_set = 43 )";"L2i - loading by each load. So, we need 14 days back of data sets, and it is 3(loads per day)x7(days in week)x1(data sets )=> 42+1 => max 15 days back."
